[2026-02-04 01:09:16,733: INFO: main: Welcome to our custom log]
[2026-02-04 10:00:19,032: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-04 10:00:19,047: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-04 10:00:19,049: INFO: common: created directory at: artifacts]
[2026-02-04 10:00:19,051: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-04 10:00:19,051: INFO: 1254834476: Downloading data from https://drive.google.com/file/d/1iCyh_bNa2wbuU330HfkPsIXU8Yy8oarp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-04 10:00:22,879: INFO: 1254834476: Downloaded data from https://drive.google.com/file/d/1iCyh_bNa2wbuU330HfkPsIXU8Yy8oarp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-04 10:17:12,429: INFO: main: >>>> stage Data Ingestion Stage started <<<]
[2026-02-04 10:17:12,432: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-02-04 10:17:12,432: INFO: common: yaml file: params.yaml loaded successfully]
[2026-02-04 10:17:12,433: INFO: common: created directory at: artifacts]
[2026-02-04 10:17:12,433: INFO: common: created directory at: artifacts/data_ingestion]
[2026-02-04 10:17:12,433: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1iCyh_bNa2wbuU330HfkPsIXU8Yy8oarp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-04 10:17:16,182: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1iCyh_bNa2wbuU330HfkPsIXU8Yy8oarp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-02-04 10:17:16,593: INFO: main: >>>> stage Data Ingestion Stage completed <<<]
